"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow"
"Heniochus_chrysostomus.png",3,1,0,0,1,0,0,0,0,0,1
"Heniochus_diphreutes.png",4,1,1,0,0,1,0,0,0,1,0
"Heniochus_monoceros.png",4,1,0,0,0,1,1,0,0,1,0
"Heniochus_pleurotaenia.png",4,1,1,0,0,1,0,0,0,1,0
"Heniochus_singularius.png",6,1,1,0,0,1,1,0,0,1,1
"Heniochus_varius.png",4,1,1,0,0,1,0,0,0,1,0
"Johnrandallia_nigrirostris.png",3,1,0,0,1,0,0,0,0,0,1
"Parachaetodon_ocellatus.png",3,0,1,0,0,1,0,0,0,1,0
"Prognathodes_aculeatus.png",5,1,1,0,0,1,1,0,0,1,0
"Prognathodes_aya.png",6,1,1,0,1,1,0,0,0,1,1
"Prognathodes_marcellae.png",4,1,1,0,1,0,0,0,0,0,1
