"img","k","black","blue","brown","green","grey","orange","purple","red","white","yellow","method"
"Chaetodon_unimaculatus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_vagabundus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chaetodon_xanthurus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chaetodon_zanzibarensis.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Chelmon_marginalis.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chelmon_muelleri.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chelmon_rostratus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Chelmonops_curiosus.png",6,1,0,1,1,1,0,0,1,1,0,"human"
"Chelmonops_truncatus.png",4,1,0,1,0,1,0,0,0,0,1,"human"
"Coradion_altivelis.png",5,1,0,0,0,1,1,0,0,1,1,"human"
"Coradion_chrysozonus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Coradion_melanopus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Forcipiger_flavissimus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Forcipiger_longirostris.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Hemitaurichthys_polylepis.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Hemitaurichthys_thompsoni.png",4,1,0,0,1,1,0,0,0,1,0,"human"
"Hemitaurichthys_zoster.png",5,1,0,1,0,1,1,0,0,1,0,"human"
"Heniochus_acuminatus.png",6,1,0,1,0,1,1,0,0,1,1,"human"
"Heniochus_chrysostomus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Heniochus_diphreutes.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Heniochus_monoceros.png",4,1,0,0,0,1,0,0,0,1,1,"human"
"Heniochus_pleurotaenia.png",4,0,0,1,0,1,0,0,0,1,1,"human"
"Heniochus_singularius.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Heniochus_varius.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Johnrandallia_nigrirostris.png",4,1,0,1,1,0,0,0,0,0,1,"human"
"Parachaetodon_ocellatus.png",5,1,0,1,0,1,0,0,0,1,1,"human"
"Prognathodes_aculeatus.png",6,1,1,0,0,1,1,0,0,1,1,"human"
"Prognathodes_aya.png",5,0,1,1,0,1,0,0,0,1,1,"human"
"Prognathodes_marcellae.png",5,1,1,1,1,0,0,0,0,0,1,"human"
"Amphichaetodon_howensis.png",4,1,0,0,1,1,0,0,0,1,0,"charisma"
"Amphichaetodon_melbae.png",4,1,0,0,1,1,0,0,0,1,0,"charisma"
"Chaetodon_adiergastos.png",5,1,0,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_argentatus.png",4,1,0,0,1,1,0,0,0,1,0,"charisma"
"Chaetodon_aureofasciatus.png",5,0,1,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_auriga.png",4,1,0,0,0,0,1,0,1,1,0,"charisma"
"Chaetodon_auripes.png",5,1,0,0,1,1,1,0,0,0,1,"charisma"
"Chaetodon_austriacus.png",5,1,1,0,0,1,1,0,0,0,1,"charisma"
"Chaetodon_baronessa.png",5,1,1,0,1,1,0,0,0,0,1,"charisma"
"Chaetodon_bennetti.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Chaetodon_blackburnii.png",5,1,0,0,1,0,1,0,0,1,1,"charisma"
"Chaetodon_burgessi.png",5,1,1,0,1,1,0,0,0,1,0,"charisma"
"Chaetodon_capistratus.png",5,0,1,0,1,1,0,0,0,1,1,"charisma"
"Chaetodon_citrinellus.png",1,0,0,0,0,0,1,0,0,0,0,"charisma"
"Chaetodon_collare.png",3,1,0,0,1,1,0,0,0,0,0,"charisma"
"Chaetodon_decussatus.png",4,1,0,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_dolosus.png",5,1,0,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_ephippium.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_falcula.png",5,1,1,0,0,1,1,0,0,1,0,"charisma"
"Chaetodon_fasciatus.png",3,1,0,0,0,0,1,0,0,0,1,"charisma"
"Chaetodon_flavirostris.png",4,1,1,0,0,1,1,0,0,0,0,"charisma"
"Chaetodon_fremblii.png",5,1,0,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_guentheri.png",5,1,0,0,0,1,1,0,0,1,1,"charisma"
"Chaetodon_guttatissimus.png",3,0,1,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_hoefleri.png",5,1,1,0,1,0,0,0,0,1,1,"charisma"
"Chaetodon_humeralis.png",3,0,1,0,0,1,0,0,0,1,0,"charisma"
"Chaetodon_interruptus.png",4,1,1,0,1,0,0,0,0,0,1,"charisma"
"Chaetodon_kleinii.png",6,0,1,0,1,1,1,0,0,1,1,"charisma"
"Chaetodon_larvatus.png",3,1,1,0,0,1,0,0,0,0,0,"charisma"
"Chaetodon_lineolatus.png",5,1,0,0,1,1,0,0,0,1,1,"charisma"
"Chaetodon_lunula.png",2,0,0,0,0,0,1,0,0,0,1,"charisma"
"Chaetodon_lunulatus.png",3,1,0,0,0,0,1,0,1,0,0,"charisma"
