"name","m","m_r","m_c","A","Sc","St","Jc","Jt","m_dS","s_dS","cv_dS","m_dL","s_dL","cv_dL"
"Amphichaetodon_howensis.png",0.0790597011494253,0.102528735632184,0.0555906666666667,1.84435161116106,1.60036752845193,2.02512260949038,0.53345584281731,0.675040869830127,0.0770158931919381,0.0320994163836301,0.416789509973381,1.19649553396104,0.360939430599968,0.301663834385628
"Amphichaetodon_melbae.png",0.0544172222222222,0.0751111111111111,0.0337233333333333,2.22727422490198,1.71963649517022,1,0.85981824758511,1,0.0316843001656563,NA,NA,1.97030069053289,NA,NA
"Chaetodon_adiergastos.png",0.203416170212766,0.197872340425532,0.20896,0.9469388420058,3.21353612991473,4.95996459101982,0.642707225982945,0.495996459101982,0.1585589177475,0.138362987552853,0.872628228789953,0.728715231502777,0.458860224755165,0.629683866781391
"Chaetodon_argentatus.png",0.106173390804598,0.116436781609195,0.09591,1.21402128671875,1.92549403969413,2.43700795611017,0.641831346564709,0.812335985370057,0.265561819853022,0.219124974830653,0.825137344486982,1.41160105559857,0.514415399710264,0.364419817957797
"Chaetodon_aureofasciatus.png",0.114761579207921,0.121584158415842,0.107939,1.12641546073098,2.88580000254604,2.9669370066536,0.721450000636511,0.494489501108933,0.0776820995634098,0.048774412741368,0.627871968130249,0.887387636808816,0.495129328710262,0.557962843037597
"Chaetodon_auriga.png",0.189236111111111,0.19375,0.184722222222222,1.04887218045113,3.31352674426438,6.1195078434362,0.552254457377397,0.407967189562413,0.192734504321762,0.145769595054234,0.756323293367738,0.710493118721432,0.524439664262294,0.738134755205018
"Chaetodon_auripes.png",0.18708375,0.17525,0.1989175,0.881018512699989,2.73849581442309,4.05056206045402,0.684623953605773,0.675093676742336,0.106064613020508,0.0811734065058637,0.765320347608948,0.868495114909432,0.46112083425223,0.53094234652122
"Chaetodon_austriacus.png",0.159034310126582,0.135569620253165,0.182499,0.742851304682023,2.7295467465386,3.94335667141453,0.68238668663465,0.657226111902421,0.251629384241637,0.175144681918431,0.696042246601221,0.963476002423188,0.512251022649914,0.531669726450454
"Chaetodon_baronessa.png",0.248427653508772,0.281789473684211,0.215065833333333,1.3102475149898,3.1995937419988,7.71540327408243,0.533265623666467,0.514360218272162,0.0220704711994353,0.0122879707730639,0.55676068997468,0.686436343106665,0.419830828638423,0.611609266983677
"Chaetodon_bennetti.png",0.111312913793103,0.11367816091954,0.108947666666667,1.04341987669499,2.7254751883455,3.53975796090429,0.681368797086374,0.589959660150714,0.182633509440093,0.134861608773457,0.738427516324404,0.797185272791566,0.456111110881148,0.572151953188934
"Chaetodon_blackburnii.png",0.12855258319544,0.125540540540541,0.13156462585034,0.95421196791414,2.44823914557348,5.2525533537699,0.489647829114696,0.52525533537699,0.0613618317930431,0.0244096455468753,0.397798514705402,0.865434631326235,0.582891328525693,0.673524385813452
"Chaetodon_burgessi.png",0.158221110657411,0.176290322580645,0.140151898734177,1.25785183199702,3.45487904597883,4.8863901705371,0.863719761494708,0.814398361756184,0.0832446925023337,0.0376800821331002,0.452642456839442,1.23950427751039,0.705744697946391,0.569376573160293
"Chaetodon_capistratus.png",0.208990308544304,0.195949367088608,0.22203125,0.882530576613011,3.01645959379633,3.64858253854948,0.754114898449083,0.608097089758246,0.041088387316774,0.0335674290434842,0.816956596147071,0.903898505940897,0.509636356018484,0.563820332336966
"Chaetodon_citrinellus.png",0.1582615,0.156125,0.160398,0.973360016957817,3.10675177742609,4.06192300814877,0.621350355485218,0.406192300814877,0.0539765546968575,0.0448723973373787,0.831331262052394,0.613861640769758,0.440172863057855,0.717055495609558
"Chaetodon_collare.png",0.263066005747126,0.269310344827586,0.256821666666667,1.04862782148801,2.85962083898532,4.24260988626974,0.476603473164221,0.282840659084649,0.04441997159705,0.0746769918670493,1.68115802829574,0.580701723607589,0.59181563418549,1.01913875941138
"Chaetodon_decussatus.png",0.164037277108434,0.169638554216867,0.158436,1.07070712601219,2.39822312171158,5.09972375997071,0.479644624342316,0.509972375997071,0.0600258887984398,0.0368436237279864,0.613795554976341,0.747150927769901,0.345001287209527,0.461755817180457
"Chaetodon_dolosus.png",0.229046615384615,0.235769230769231,0.222324,1.06047584052658,2.92048644436344,5.83667552816268,0.584097288872688,0.583667552816268,0.0791371094627586,0.042322537157489,0.534800139211627,0.798581365459391,0.518527255275315,0.649310486949602
"Chaetodon_ephippium.png",0.136079210731777,0.132054794520548,0.140103626943005,0.94255086325687,2.65416045254108,6.50368030852089,0.530832090508216,0.650368030852089,0.121258016970179,0.0869880951491908,0.717380156155645,1.0139111024708,0.754231591472869,0.743883353910303
"Chaetodon_falcula.png",0.150897851851852,0.18037037037037,0.121425333333333,1.48544266191325,2.7049999084728,7.65346690572355,0.450833318078799,0.510231127048237,0.120460722677589,0.1119845193462,0.929635128007036,0.880205647256789,0.570330970353049,0.647951955466905
"Chaetodon_fasciatus.png",0.249212569105691,0.225487804878049,0.272937333333333,0.826152297028068,2.85157347992558,6.99739316353325,0.475262246654264,0.466492877568884,0.102897546069415,0.101857724897665,0.989894596990207,0.643692810725505,0.398985803434407,0.619838837386906
"Chaetodon_flavirostris.png",0.213026972222222,0.219444444444444,0.2066095,1.06212175357108,3.04803935809044,6.13946800380763,0.50800655968174,0.409297866920509,0.0957972051263843,0.0953123785624246,0.994939032268008,0.563516089178227,0.39802768962366,0.706328882648413
